year,Rank,Name,Country,No. of FTE students,No. of students per staff,International students,Female:Male ratio
2015,195,University of Bonn,Germany,,,,
2015,196,Lomonosov Moscow State University,Russian Federation,,,,
2015,196,"St George’s, University of London",United Kingdom,,,,
2015,198,University of East Anglia,United Kingdom,,,,
2015,199,University of Leicester,United Kingdom,,,,
2015,200,Florida Institute of Technology,United States,,,,
2015,200,George Washington University,United States,,,,
2015,201-225,University of Twente,Netherlands,,,,
2015,201-225,Hebrew University of Jerusalem,Israel,,,,
2015,201-225,Wake Forest University,United States,,,,
2015,201-225,Ulm University,Germany,,,,
2015,201-225,Korea University,South Korea,,,,
2015,201-225,University of Reading,United Kingdom,,,,
2015,201-225,Université Libre de Bruxelles,Belgium,,,,
2015,201-225,Cardiff University,United Kingdom,,,,
2015,201-225,Bilkent University,Turkey,,,,
2015,201-225,University of Illinois Chicago,United States,,,,
2015,201-225,University of Texas at Dallas,United States,,,,
2015,201-225,University of Trieste,Italy,,,,
2015,201-225,The Hong Kong Polytechnic University,Hong Kong,,,,
2015,201-225,Newcastle University,United Kingdom,,,,
2015,201-225,Yonsei University,South Korea,,,,
2015,201-225,William & Mary,United States,,,,
2015,201-225,University of Bergen,Norway,,,,
2015,201-225,University of Innsbruck,Austria,,,,
2015,201-225,University of Science and Technology of China,China,,,,
2015,201-225,University of Dundee,United Kingdom,,,,
2015,201-225,University of São Paulo,Brazil,,,,
2015,201-225,University of Strasbourg,France,,,,
2015,201-225,University of Barcelona,Spain,,,,
2015,201-225,Goethe University Frankfurt,Germany,,,,
2015,201-225,Technion Israel Institute of Technology,Israel,,,,
2015,226-250,University College Dublin,Ireland,,,,
2015,226-250,Western University,Canada,,,,
2015,226-250,Simon Fraser University,Canada,,,,
2015,226-250,Tokyo Metropolitan University,Japan,,,,
2015,226-250,University of Würzburg,Germany,,,,
2015,226-250,SUNY University at Albany,United States,,,,
2015,226-250,Rensselaer Polytechnic Institute,United States,,,,
2015,226-250,University of Calgary,Canada,,,,
2015,226-250,Carleton University,Canada,,,,
2015,226-250,TU Wien,Austria,,,,
2015,226-250,University of Gothenburg,Sweden,,,,
2015,226-250,Université Laval,Canada,,,,
2015,226-250,"Birkbeck, University of London",United Kingdom,,,,
2015,226-250,Nagoya University,Japan,,,,
2015,226-250,Mines ParisTech,France,,,,
2015,226-250,Dalhousie University,Canada,,,,
2015,226-250,Brunel University of London,United Kingdom,,,,
2015,226-250,York University,Canada,,,,
2015,226-250,University of Konstanz,Germany,,,,
2015,226-250,Universitat Autònoma de Barcelona (UAB),Spain,,,,
2015,226-250,University of Technology Sydney,Australia,,,,
