year,Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2013,140,KTH Royal Institute of Technology,Sweden,52.9,47.5,49.7,49.1,100.0,86.1
2013,140,Vrije Universiteit Amsterdam,Netherlands,52.9,40.5,45.1,74.2,58.5,47.1
2013,142,University of Basel,Switzerland,52.8,37.1,23.2,87.8,64.2,89.8
2013,142,University of Leeds,United Kingdom,52.8,41.5,48.6,65.8,41.3,66.6
2013,144,University of Freiburg,Germany,52.3,48.3,33.0,72.4,81.1,54.9
2013,145,Queen Mary University of London,United Kingdom,52.1,33.1,30.0,85.4,42.7,87.0
2013,145,Lancaster University,United Kingdom,52.1,37.7,40.9,73.2,31.8,76.2
2013,147,The University of Osaka,Japan,52.0,59.5,55.7,46.4,69.6,23.6
2013,148,Arizona State University (Tempe),United States,51.9,38.4,45.2,79.9,31.8,27.4
2013,149,Technical University of Denmark,Denmark,51.7,37.9,30.0,76.9,98.7,77.0
2013,150,Boston College,United States,51.6,34.5,33.2,88.7,-,52.4
2013,151,University of Bern,Switzerland,51.5,43.0,36.0,69.7,42.0,77.3
2013,151,Karlsruhe Institute of Technology,Germany,51.5,46.3,38.9,63.4,82.9,64.5
2013,153,University of Exeter,United Kingdom,51.3,33.2,38.1,78.1,37.1,74.1
2013,154,"University of California, Riverside",United States,51.1,29.1,32.5,90.3,33.5,62.8
2013,154,RWTH Aachen University,Germany,51.1,45.3,32.4,73.8,63.1,53.9
2013,156,Texas A&M University,United States,50.9,46.4,58.3,49.3,45.5,47.2
2013,156,Yeshiva University,United States,50.9,51.7,30.1,78.8,-,28.4
2013,158,Tel Aviv University,Israel,50.5,50.7,59.8,43.7,49.2,39.5
2013,158,University of Birmingham,United Kingdom,50.5,44.8,46.7,56.3,38.4,69.7
2013,158,University of São Paulo,Brazil,50.5,63.0,65.7,30.2,40.0,24.5
2013,161,University of Auckland,New Zealand,50.3,34.0,40.9,64.2,76.6,88.0
2013,162,Stony Brook University,United States,50.2,38.8,29.9,82.9,31.6,52.8
2013,162,University of Vienna,Austria,50.2,44.3,46.7,52.4,29.1,86.3
2013,164,Université Catholique de Louvain,Belgium,50.0,38.6,40.5,68.8,34.5,64.3
2013,165,University of Delaware,United States,49.7,30.0,41.6,76.6,97.7,37.3
2013,166,Paris Diderot University – Paris 7,France,49.6,31.9,27.1,87.9,-,66.8
2013,167,University of Texas at Dallas,United States,49.5,32.6,32.2,85.2,40.0,46.8
2013,168,George Washington University,United States,49.4,48.1,28.0,77.1,30.0,36.6
2013,169,University of Iowa,United States,49.3,49.0,40.9,65.7,-,26.4
2013,170,École Normale Supérieure de Lyon,France,49.2,40.8,25.9,79.6,28.9,61.0
2013,171,University of Ottawa,Canada,49.0,40.8,41.4,63.1,43.0,58.1
2013,171,University of Liverpool,United Kingdom,49.0,38.7,37.5,64.8,46.4,73.7
2013,171,University of Bonn,Germany,49.0,40.9,26.1,80.4,-,54.0
2013,174,Rensselaer Polytechnic Institute,United States,48.9,36.2,40.2,73.0,66.8,32.9
2013,174,Georgetown University,United States,48.9,56.4,35.6,59.8,-,32.9
2013,176,University of East Anglia,United Kingdom,48.8,29.6,27.7,85.5,30.7,68.9
2013,176,University of Aberdeen,United Kingdom,48.8,31.9,34.3,71.5,48.9,84.1
2013,176,University of Reading,United Kingdom,48.8,39.3,41.1,61.3,35.2,72.4
2013,176,University of Adelaide,Australia,48.8,37.3,43.7,55.9,63.2,82.2
2013,180,Joseph Fourier University,France,48.6,36.6,26.5,81.8,36.3,56.3
2013,180,Newcastle University,United Kingdom,48.6,37.9,30.5,72.1,37.4,74.4
2013,182,City University of Hong Kong,Hong Kong,48.5,35.2,41.8,64.1,53.6,64.0
2013,183,Yonsei University,South Korea,48.2,48.3,50.6,48.6,56.1,33.4
2013,184,University of Illinois Chicago,United States,48.0,53.9,42.6,52.9,40.4,29.1
2013,184,William & Mary,United States,48.0,41.3,22.6,87.1,29.9,25.8
