year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
2024,123,University of Basel,64.9,50.8,42.9,87.7,99.4,95.4,=
2024,123,University of Massachusetts,64.9,54.0,46.9,87.3,85.6,77.3,=
2024,125,Vrije Universiteit Amsterdam,64.7,40.4,51.0,93.4,91.5,84.3,
2024,126,Technical University of Denmark,64.6,50.7,47.4,83.2,99.7,92.2,
2024,127,University of Oslo,64.3,45.6,50.6,92.1,72.3,75.6,
2024,128,University of Freiburg,64.1,46.7,51.3,86.2,100.0,74.2,
2024,129,University of Leeds,63.9,46.1,49.1,87.3,68.8,94.6,
2024,130,University of Nottingham,63.8,45.6,45.9,90.6,71.2,92.8,=
2024,130,Tohoku University,63.8,67.8,66.4,53.8,99.9,58.5,=
2024,132,University of Florida,63.7,55.5,56.7,78.3,88.9,50.9,
2024,133,University of Rochester,63.6,50.8,42.9,88.3,89.0,81.7,
2024,134,Trinity College Dublin,63.2,44.0,48.4,87.6,76.6,91.4,
2024,135,Queen Mary University of London,63.1,37.6,42.6,97.9,73.9,98.1,
2024,136,University of Hamburg,63.0,44.7,53.3,84.8,98.6,65.7,=
2024,136,Technical University of Berlin,63.0,47.8,55.6,78.1,99.9,71.3,=
2024,138,University of Colorado Boulder,62.9,46.5,51.9,88.6,82.8,56.6,=
2024,138,Maastricht University,62.9,41.4,47.1,86.1,98.1,97.4,=
2024,140,Karlsruhe Institute of Technology,62.8,49.9,56.8,72.5,99.9,77.6,=
2024,140,Radboud University Nijmegen,62.8,39.1,51.0,91.3,81.4,77.7,=
2024,140,Uppsala University,62.8,43.9,55.0,81.3,97.7,74.7,=
2024,143,University of Lausanne,62.7,41.7,46.3,87.3,99.5,90.4,=
2024,143,The University of Western Australia,62.7,37.7,48.6,88.7,97.2,93.5,=
2024,145,University of Pittsburgh-Pittsburgh campus,62.5,49.1,46.1,92.4,76.1,50.9,=
2024,145,Sungkyunkwan University (SKKU),62.5,55.5,54.2,72.9,98.8,61.3,=
2024,147,University of York,62.4,42.4,44.8,90.8,66.9,93.1,
2024,148,University of Technology Sydney,62.3,36.2,43.3,95.9,78.9,94.3,
2024,149,Pohang University of Science and Technology (POSTECH),62.2,58.1,51.5,77.2,100.0,40.0,
2024,150,University of Auckland,62.0,39.7,45.7,88.3,95.8,89.9,=
2024,150,Sichuan University,62.0,59.1,57.3,69.3,93.2,46.1,=
2024,152,University of Barcelona,61.9,42.4,47.3,91.4,83.9,65.2,=
2024,152,National Taiwan University (NTU),61.9,57.3,54.8,70.8,99.9,51.2,=
2024,152,Université Paris Cité,61.9,47.9,42.7,90.6,68.3,73.2,=
2024,155,University of Arizona,61.8,48.7,51.3,85.7,84.0,47.0,=
